Command: lake env lean Audit.lean
Exit: 0
PASS Aiyagari1994.valueExtension_strictMono
PASS Aiyagari1994.rightMarginalValue
PASS Aiyagari1994.rightMarginalValue_hasDerivWithinAt
PASS Aiyagari1994.rightMarginalValue_secant_limit
PASS Aiyagari1994.rightSecant_antitone
PASS Aiyagari1994.secant_le_rightMarginalValue
PASS Aiyagari1994.rightMarginalValue_pos
PASS Aiyagari1994.rightMarginalValue_le_leftSecant
PASS Aiyagari1994.rightMarginalValue_antitone
PASS Aiyagari1994.utilityOscillation
PASS Aiyagari1994.valueExtension_oscillation_bound
PASS Aiyagari1994.rightMarginalValue_bounds
PASS Aiyagari1994.valueSlope_tendsto_left
PASS Aiyagari1994.rightMarginalValue_rightContinuous
PASS Aiyagari1994.zeroRightMarginal
PASS Aiyagari1994.zeroSecant_antitone
PASS Aiyagari1994.zeroRightMarginal_secant_limit
PASS Aiyagari1994.rightMarginalValue_le_zeroRightMarginal
PASS Aiyagari1994.zeroRightMarginal_eq_sup_positive
PASS Aiyagari1994.positiveMarginal_antitone
PASS Aiyagari1994.positiveMarginal_tendsto_zero
PASS Aiyagari1994.zeroRightMarginal_eq_top_iff
PASS Aiyagari1994.rightSecant_increment
PASS Aiyagari1994.rightSecant_pos
PASS Aiyagari1994.rightMarginalValue_eq_sSup_secants
PASS Aiyagari1994.rightMarginalValue_finite
PASS Aiyagari1994.zeroRightMarginal_pos
PASS Aiyagari1994.rightMarginalValue_properties
